ingredient,cmr,product_type
SELENIUM DISULPHIDE,,Antidandruff Shampoos
ALUMINIUM ZIRCONIUM CHLORIDE HYDROXIDE COMPLEXES ALXZR(OH)YCLZ AND THE ALUMINIUM ZIRCONIUM CHLORIDE HYDROXIDE GLYCINE COMPLEXES,,Anti-Perspirants
OXYQUINOLINE SULFATE,,Stabilizer For Hydrogen Peroxide In Rinse-Off Hair Products
OXYQUINOLINE SULFATE,,Stabilizer For Hydrogen Peroxide In Leave-On Hair Products
METHYL ALCOHOL,,Denaturant For Ethanol And Isopropyl Alcohol
ETIDRONIC ACID,,Hair Product
ETIDRONIC ACID,,Soap
1-PHENOXYPROPAN-2-OL (8),,Rinse-Off Products Not To Be Used In Oral Products
MAGNESIUM FLUORIDE,,Oral Products
STRONTIUM CHLORIDE,,Oral Products
STRONTIUM CHLORIDE,,Shampoo And Face Products
STRONTIUM ACETATE,,Oral Products
TALC,,Powdery Products Intended To Be Used For Children Under 3 Years Of Age
TALC,,Other Products
FATTY ACID DIALKYLAMIDES AND DIALKANOLAMIDES,,
"MONOALKYLAMINES, MONOALKANOLAMINES AND THEIR SALTS",,
"TRIALKYLAMINES, TRIALKANOLAMINES AND THEIR SALTS",,Leave-On Products
"TRIALKYLAMINES, TRIALKANOLAMINES AND THEIR SALTS",,Rinse-Off Products
STRONTIUM HYDROXIDE,,Ph-Adjuster For Depilatories
STRONTIUM PEROXIDE,,Rinse-Off Hair Products
BENZALKONIUM CHLORIDE,,Rinse-Off Hair (Head) Products
BENZALKONIUM BROMIDE,,Rinse-Off Hair (Head) Products
BENZALKONIUM SACCHARINATE,,Rinse-Off Hair (Head) Products
POLYACRYLAMIDES,,Body Leave-On Products
POLYACRYLAMIDES,,Other Products
AMYL CINNAMAL,,
CINNAMYL ALCOHOL,,
CITRAL,,
GERANIAL,,
NERAL,,
EUGENOL,,
HYDROXYCITRONELLAL,,Oral Products
HYDROXYCITRONELLAL,,Other Products
ISOEUGENOL,,Oral Products
ISOEUGENOL,,Other Products
AMYLCINNAMYL ALCOHOL,,
BENZYL SALICYLATE,,
CINNAMAL,,
COUMARIN,,
GERANIOL,,
ANISE ALCOHOL,,
BENZYL CINNAMATE,,
FARNESOL,,
LINALOOL,,
BENZYL BENZOATE,,
CITRONELLOL,,
HEXYL CINNAMAL,,
LIMONENE,,
METHYL 2-OCTYNOATE,,Oral Products
METHYL 2-OCTYNOATE,,Other Products
ALPHA-ISOMETHYL IONONE,,
EVERNIA PRUNASTRI EXTRACT,,
EVERNIA FURFURACEA EXTRACT,,
DIAMINOPYRIMIDINE OXIDE,,Hair Products
BENZOYL PEROXIDE,,Artificial Nail Systems
P-HYDROXYANISOLE,,Artificial Nail Systems
MUSK XYLENE,Carcinogenic Cat. 2,"All Cosmetic Products, With The Exception Of Oral Products Note: 'Due To Environmental Concerns, Musk Xylene Is Included In The Authorisation List (Annex Iv) Of Reach. Musk Xylene Cannot Be Placed On The Market Or Used Unless Authorisation Has Been Granted Under Reach’"
MUSK KETONE,Carcinogenic Cat. 2,"All Cosmetic Products, With The Exception Of Oral Care Products"
SALICYLIC ACID,Reprotoxic Cat. 2,Rinse-Off Hair Products
SALICYLIC ACID,Reprotoxic Cat. 2,"Other Products Except Body Lotion, Eye Shadow, Mascara, Eyeliner, Lipstick, Roll-On Deodorant"
SALICYLIC ACID,Reprotoxic Cat. 2,"Body Lotion, Eye Shadow, Mascara, Eyeliner, Lipstick, Roll-On Deodorant"
INORGANIC SULFITES AND BISULFITES (12),,Oxidative Hair Dye Products
INORGANIC SULFITES AND BISULFITES (12),,Hair Straightening Products
INORGANIC SULFITES AND BISULFITES (12),,Self-Tanning Products For The Face
INORGANIC SULFITES AND BISULFITES (12),,Other Self-Tanning Products
TRICLOCARBAN,,Rinse-Off Products
METHYL EUGENOL,,Fine Fragrance
METHYL EUGENOL,,Eau De Toilette
METHYL EUGENOL,,Fragrance Cream
METHYL EUGENOL,,Other Leave-On Products And Oral Products
METHYL EUGENOL,,Rinse-Off Products
ABIES ALBA CONE OIL,,
ABIES ALBA CONE EXTRACT,,
ABIES ALBA LEAF OIL,,
ABIES ALBA LEAF CERA,,
ABIES ALBA NEEDLE EXTRACT,,
ABIES ALBA NEEDLE OIL,,
ABIES PECTINATA OIL AND EXTRACT,,
ABIES SIBIRICA OIL AND EXTRACT,,
ABIES BALSAMEA OIL AND EXTRACT,,
PINUS MUGO PUMILIO OIL AND EXTRACT,,
PINUS MUGO LEAF OIL,,
PINUS MUGO TWIG LEAF EXTRACT,,
PINUS MUGO TWIG OIL,,
PINUS SYLVESTRIS OIL AND EXTRACT,,
PINUS NIGRA OIL AND EXTRACT,,
PINUS PALUSTRIS OIL AND EXTRACT,,
PINUS PINASTER OIL AND EXTRACT,,
PINUS PUMILA NEEDLE EXTRACT,,
PINUS PUMILA TWIG LEAF EXTRACT,,
PINUS PUMILA TWIG LEAF OIL,,
PINUS SPECIES OIL AND EXTRACT,,
PINUS CEMBRA OIL AND EXTRACT,,
PINUS CEMBRA EXTRACT ACETYLATED,,
PICEA MARIANA OIL AND EXTRACT,,
THUJA OCCIDENTALIS OIL AND EXTRACT,,
3-CARENE,,
"3,7,7-TRIMETHYLBICYCLO[4.1.0]HEPT-3-ENE (ISODIPRENE)",,
CEDRUS ATLANTICA BARK EXTRACT,,
CEDRUS ATLANTICA BARK OIL,,
CEDRUS ATLANTICA BARK WATER,,
CEDRUS ATLANTICA LEAF EXTRACT,,
CEDRUS ATLANTICA WOOD EXTRACT,,
CEDRUS ATLANTICA WOOD OIL,,
CUPRESSUS SEMPERVIRENS OIL AND EXTRACT,,
TURPENTINE,,
TERPENE ALCOHOLS ACETATES,,
TERPENE HYDROCARBONS,,
"TERPENES AND TERPENOIDS WITH THE EXCEPTION OF LIMONENE (D-, L-, AND DL-ISOMERS) LISTED UNDER REFERENCE NUMBERS 88, 167 AND 168 OF THIS ANNEX III",,
TERPENES AND TERPENOIDS,,
ALPHA-TERPINENE,,
GAMMA-TERPINENE,,
"P-MENTHA-1,4-DIENE",,
TERPINOLENE,,
ACETYL HEXAMETHYL INDAN,,Leave-On Products
ACETYL HEXAMETHYL INDAN,,Rinse-Off Products
"1,1,2,3,3,6-HEXAMETHYLINDAN-5-YL METHYL KETONE",,Leave-On Products
