ingredient,cmr,product_type
HC YELLOW NO 13,,: - Do Not Use With Nitrosating Agents - Maximum Nitrosamine Content: 50 Microgram/Kg - Keep In Nitrite-Free Containers
BASIC YELLOW 57,,Hair Dye Substance In Non-Oxidative Hair Dye Products
DISPERSE BLACK 9,,Hair Dye Substance In Non-Oxidative Hair Dye Products
HC BLUE NO 14,,Hair Dye Substance In Non-Oxidative Hair Dye Products
DISPERSE VIOLET 1,,Hair Dye Substance In Non-Oxidative Hair Dye Products
HC RED NO 3,,A) Hair Dye Substance In Oxidative Hair Dye Products
HC RED NO 3,,Hair Dye Substance In Non-Oxidative Hair Dye Products
BASIC RED 76,,Hair Dye Substance Non-Oxidative Hair Dye Products
2-AMINO-5- ETHYLPHENOL HCL,,Hair Dye Substance In Oxidative Hair Dye Products
BASIC RED 51,,Hair Dye Substance In Oxidative Hair Dye Products
BASIC RED 51,,Hair Dye Substance In Non-Oxidatie Hair Dye Products
ACID RED 92,,Hair Dye Substance In Oxidative Hair Dye Products
ACID RED 92,,Hair Dye Substance In Non-Oxidative Hair Dye Products
"DISPERSE BLUE 377 IS A MIXTURE OF THREE DYES:(1) 1,4-BIS[(2-HYDROXYETHYL)AMINO]ANTHRA-9,10-QUINONE",,Hair Dye Substance In Non-Oxidative Hair Dye Products
"(2) 1-[(2-HYDROXYETHYL)AMINO]-4-[(3- HYDROXYPROPYL)AMINO]ANTHRA- 9,10-QUINONE",,Hair Dye Substance In Non-Oxidative Hair Dye Products
"(3) 1,4-BIS[(3- HYDROXYPROPYL)AMINO]ANTHRA- 9,10-QUINONE",,Hair Dye Substance In Non-Oxidative Hair Dye Products
P-AMINOPHENOL,,Hair Dye Sub­Stance In Oxidat­Ive Hair Dye Products
P-AMINOPHENOL,,Products In­Tended For Col­Ouring Eyelashes
"1-HYDROXYETHYL-4,5- DIAMINO PYRAZOLE SULFATE",,Hair Dye Substance In Oxidative Hair Dye Products
4-FORMYL-1-METHYLQUINOLINIUM-P-TOLUENESULFONATE,,Hair Dye Substance In Oxidative Hair Dye Products
BASIC YELLOW 87,,Hair Dye Substance In Oxidative Hair Dye Products
BASIC YELLOW 87,,Hair Dye Substance In Non-Oxidative Hair Dye Products
BASIC ORANGE 31,,Hair Dye Substance In Oxidative Hair Dye Products
BASIC ORANGE 31,,Hair Dye Substance In Non-Oxidative Hair Dye Products
"2,6-DIAMINO-3- ((PYRIDINE-3-YL)AZO)PYRIDINE",,Hair Dye Substance In Oxidative Hair Dye Products B) Hair Dye Substance In Non-Oxidative Hair Dye Products
BASIC VIOLET 2,,A) Hair Dye Substance In Oxidative Hair Dye Products B) Hair Dye Substance In Non-Oxidative Hair Dye Products
"2,3-DIAMINODIHYDROPYRAZOLOPYRAZOLONE DIMETHOSULFONATE",,Hair Dye Substance In Oxidative Hair Dye Products
PICRAMIC ACID AND SODIUM PICRAMATE,,Hair Dye Substance In Oxidative Hair Dye Products
PICRAMIC ACID AND SODIUM PICRAMATE,,Hair Dye Substance In Non-Oxidative Hair Dye Products
2-NITRO-5-GLYCERYL METHYLANILINE,,Hair Dye Substance In Oxidative Hair Dye Products
2-NITRO-5-GLYCERYL METHYLANILINE,,Hair Dye Substance In Non-Oxidative Hair Dye Products
HC BLUE 16,,Hair Dye Substance In Non-Oxidative Hair Dye Products
5-AMINO-6-CHLORO-O- CRESOL,,Hair Dye Substance In Oxidative Hair Dye Products
5-AMINO-6-CHLORO-O- CRESOL,,Hair Dye Substance In Non-Oxidative Hair Dye Products
5-AMINO-6-CHLORO-O- CRESOL HCL,,Hair Dye Substance In Oxidative Hair Dye Products
5-AMINO-6-CHLORO-O- CRESOL HCL,,Hair Dye Substance In Non-Oxidative Hair Dye Products
"2,2'-METHYLENEBIS 4-AMINOPHENOL HCL",,Hair Dye Substance In Oxidative Hair Dye Products
"2,2'-METHYLENEBIS 4-AMINOPHENOL HCL",,Hair Dye Substance In Non-Oxidative Hair Dye Products
"2,6-DIAMINOPYRIDINE",,Hair Dye Substance In Oxidative Hair Dye Products
"2,6-DIAMINOPYRIDINE",,Products Intended For Colouring Eyelashes
CETRIMONIUM CHLORIDE (1),,Rinse-Off Hair Products
CETRIMONIUM CHLORIDE (1),,Leave-On Hair Products
CETRIMONIUM CHLORIDE (1),,Leave-On Face Products
STRARTRIMONIUM CHLORIDE (1),,Rinse-Off Hair Products
STRARTRIMONIUM CHLORIDE (1),,Leave-On Hair Products
STRARTRIMONIUM CHLORIDE (1),,Leave-On Face Products
BEHENTRIMONIUM CHLORIDE (1),,Rinse-Off Hair Products
BEHENTRIMONIUM CHLORIDE (1),,Leave-On Hair Products
BEHENTRIMONIUM CHLORIDE (1),,Leave-On Face Products
HC BLUE NO 17,,Hair Dye Substance In Oxidative Hair Dye Products
HC BLUE NO 17,,Hair Dye Substance In Non-Oxidative Hair Dye Products
HC BLUE NO 15,,Hair Dye Substance In Oxidative Hair Dye Products
HC BLUE NO 15,,Hair Dye Substance In Non-Oxidative Hair Dye Products
ACID GREEN 25,,Hair Dye Substance In Non-Oxidative Hair Dye Products
ACID VIOLET 43,,Hair Dye Substance In Non-Oxidative Hair Dye Products
2-METHOXYMETHYL-P-PHENYLENEDIAMINE,,Hair Dye Substance In Oxidative Hair Dye Products
2-METHOXYMETHYL-P-PHENYLENEDIAMINE,,Products Intended For Colouring Eyelashes
2-METHOXYMETHYL-P-PHENYLENEDIAMINE SULFATE,,Hair Dye Substance In Oxidative Hair Dye Products
2-METHOXYMETHYL-P-PHENYLENEDIAMINE SULFATE,,Products Intended For Colouring Eyelashes
HYDROXYANTHRAQUINONE-AMINOPROPYL METHYL MORPHOLINIUM METHOSULFATE,,Hair Dye Substance In Non-Oxidative Hair Dye Products
DISPERSE RED 17,,Hair Dye Substance In Oxidative Hair Dye Products
DISPERSE RED 17,,Hair Dye Substance In Non-Oxidative Hair Dye Products
ACID BLACK 1,,Hair Dye Substance In Non-Oxidative Hair Dye Products
PIGMENT RED 57,,Hair Dye Substance In Non-Oxidative Hair Dye Products
ETHOXYDIGLYCOL,,Oxidative Hair Day Products
ETHOXYDIGLYCOL,,Non-Oxidative Hair Dye Products
ETHOXYDIGLYCOL,,Rinse-Off Products Other Than Hair Dye Products
ETHOXYDIGLYCOL,,Other Non-Spray Cosmetic Products
ETHOXYDIGLYCOL,,"The Following Spray Products: Fine Fragrances, Hair Sprays, Antiperspirant And Deodorant"
HC RED NO 17,,Hair Dye Substance In Non-Oxidative Hair Dye Products
HC YELLOW NO 17,,Hair Dye Substance In Non-Oxidative Hair Dye Products
"1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE",,Hair Dye Substance In Oxidative Hair Dye Products
"2,5,6-TRIAMINO- 4-PYRIMIDINOL SULFATE",,Hair Dye Substance In Oxidative Hair Dye Products
HYDROXYETHOXY AMINOPYRAZOLOPYRIDINE HCL,,Hair Dye Substance In Oxidative Hair Dye Products
"3-AMINO-2,6- DIMETHYLPHENOL",,Hair Dye Substance In Oxidative Hair Dye Products
BASIC BROWN 17,,Hair Dye Substance In Non-Oxidative Hair Dye Products
BASIC BLUE 124,,Hair Dye Substance In Non-Oxidative Hair Dye Products
ARACHIS HYPOGAEA OIL,,
ARACHIS HYPOGAEA SEEDCOAT EXTRACT,,
ARACHIS HYPOGAEA FLOUR,,
ARACHIS HYPOGAEA FRUIT EXTRACT,,
ARACHIS HYPOGAEA SPROUT EXTRACT,,
HYDROGENATED PEANUT OIL,,
PEANUT ACID,,
PEANUT GLYCERIDES,,
PEANUT OIL PEG-6 ESTERS,,
PEANUTAMIDE MEA,,
PEANUTAMIDE MIPA,,
POTASSIUM PEANUTATE,,
SODIUM PEANUTAMPHOACETATE,,
SODIUM PEANUTATE,,
SULFATED PEANUT OIL,,
HYDROLYZED WHEAT PROTEIN,,
TAGETES MINUTA FLOWER EXTRACT,,Leave-On Products
TAGETES MINUTA FLOWER EXTRACT,,Rinse-Off Products
TAGETES MINUTA FLOWER OIL,,Leave-On Products
TAGETES MINUTA FLOWER OIL,,Rinse-Off Products
TAGETES PATULA FLOWER EXTRACT,,Leave-On Products
TAGETES PATULA FLOWER EXTRACT,,Rinse-Off Products
TAGETES PATULA FLOWER OIL,,Leave-On Products
TAGETES PATULA FLOWER OIL,,Rinse-Off Products
CLIMBAZOLE,,Rinse-Off Anti-Dandruff Shampoo
FURFURAL,Carcinogenic Cat. 2,
HEMA,,Nail Products
DI-HEMA TRIMETHYLHEXYL DICARBAMATE,,Nail Products
DIMETHYLPIPERAZINIUM AMINOPYRAZOLOPYRIDINE HCL,,Hair Dye Substance In Oxidative Hair Dye Products.
METHYLIMIDAZOLIUMPROPYL P-PHENYLENEDIAMINE HCL,,Hair Dye Substance In Oxidative Hair Dye Products.
HC ORANGE NO. 6,,Hair Dye Substance In Non-Oxidative Hair Dye Products
ACID ORANGE 7,,Hair Dye Substance In Non-Oxidative Hair Dye Products.
TETRABROMOPHENOL BLUE,,Hair Dye Substance In Oxidative Hair Dye Products
TETRABROMOPHENOL BLUE,,Hair Dye Substance In Non-Oxidative Hair Dye Products
INDIGOFERA TINCTORIA LEAF,,Hair Dye Substance In Non-Oxidative Hair Dye Products.
INDIGOFERA TINCTORIA LEAF POWDER,,Hair Dye Substance In Non-Oxidative Hair Dye Products.
INDIGOFERA TINCTORIA LEAF EXTRACT,,Hair Dye Substance In Non-Oxidative Hair Dye Products.
INDIGOFERA TINCTORIA EXTRACT,,Hair Dye Substance In Non-Oxidative Hair Dye Products.
TITANIUM DIOXIDE,,Face Products In Loose Powder Form
TITANIUM DIOXIDE,,Hair Aerosol Spray Pro­Ducts
TITANIUM DIOXIDE,,Other Products
DIHYDROXYACETONE,,Hair Dye Substance In Non-Oxidative Hair Dye Products (*)
DIHYDROXYACETONE,,Self-Tanning Products (*) (*) From 26 January 2022 Hair Dye And Self-Tanning Products Containing That Substance And Not Complying With The Restrictions Shall Not Be Placed On The Union Market. From 22 April 2022 Hair Dye And Self-Tanning Products Containing That Substance And Not Complying With The Restrictions Shall Not Be Made Available On The Union Market
METHYL N-METHYLANTHRANILATE,,Leave-On Products
METHYL N-METHYLANTHRANILATE,,Rinse-Off Products
METHYL SALICYLATE,Reprotoxic Cat. 2,"Leave-On Skin Products (Except Face Makeup, Spray/Aerosol Body Lotion, Spray/Aerosol Deodorant And Hydroalcoholic-Based Fragrances) And Leave On Hair Products (Except Spray/Aerosol Products)"
METHYL SALICYLATE,Reprotoxic Cat. 2,"Face Makeup (Except Lip Products, Eye Makeup And Makeup Remover)"
METHYL SALICYLATE,Reprotoxic Cat. 2,Eye Makeup And Makeup Remover
METHYL SALICYLATE,Reprotoxic Cat. 2,Leave-On Hair Products (Spray/Aerosol)
METHYL SALICYLATE,Reprotoxic Cat. 2,Deodorant Spray/Aerosol
METHYL SALICYLATE,Reprotoxic Cat. 2,Body Lotion Spray/Aerosol
METHYL SALICYLATE,Reprotoxic Cat. 2,Rinse-Off Skin Products (Except Hand Wash) And Rinse-Off Hair Products
METHYL SALICYLATE,Reprotoxic Cat. 2,Hand Wash
METHYL SALICYLATE,Reprotoxic Cat. 2,Hydroalcoholic-Based Fragrances
METHYL SALICYLATE,Reprotoxic Cat. 2,Lip Products
METHYL SALICYLATE,Reprotoxic Cat. 2,Toothpaste
METHYL SALICYLATE,Reprotoxic Cat. 2,Mouthwash Intended For Children Aged 6–10 Years
METHYL SALICYLATE,Reprotoxic Cat. 2,Mouthwash Intended For Children Above 10 Years Of Age And Adults
METHYL SALICYLATE,Reprotoxic Cat. 2,Mouth Spray
BUTYLATED HYDROXYTOLUENE,,A) Mouthwash B) Toothpaste C) Other Leave-On And Rinse-Off Products
ACID YELLOW 3,,Non-Oxidative Hair Dye Products
ACETYL CEDRENE,,
AMYL SALICYLATE,,
ANETHOLE,,
BENZALDEHYDE,,
CAMPHOR,,
BETA- CARYOPHYLLENE,,
CARVONE,,
DIMETHYL PHENETHYL ACETATE,,
HEXADECANOLACTONE,,
HEXAMETHYLINDANOPYRAN,,
LINALYL ACETATE,,
MENTHOL,,
TRIMETHYLCYCLOPENTENYL METHYLISOPENTENOL,,
SALICYLALDEHYDE,,
SANTALOL,,
SCLAREOL,,
TERPINEOL,,
TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES,,
TRIMETHYLBENZENEPROPANOL,,
VANILLIN,,
CANANGA ODORATA FLOWER EXTRACT,,
CANANGA ODORATA FLOWER OIL,,
CINNAMOMUM CASSIA LEAF OIL,,
CINNAMOMUM ZEYLANICUM BARK OIL,,
CITRUS AURANTIUM AMARA FLOWER OIL,,
CITRUS AURANTIUM DULCIS FLOWER OIL,,
CITRUS AURANTIUM AMARA PEEL OIL,,
CITRUS AURANTIUM DULCIS PEEL OIL,,
CITRUS SINENSIS PEEL OIL,,
CITRUS AURANTIUM BERGAMIA PEEL OIL,,
CITRUS LIMON PEEL OIL,,
CYMBOPOGON SCHOENANTHUS OIL,,
CYMBOPOGON FLEXUOSUS OIL,,
CYMBOPOGON CITRATUS LEAF OIL,,
EUCALYPTUS GLOBULUS LEAF OIL,,
EUCALYPTUS GLOBULUS LEAF,,
TWIG OIL,,
EUGENIA CARYOPHYLLUS LEAF OIL,,
EUGENIA CARYOPHYLLUS FLOWER OIL,,
EUGENIA CARYOPHYLLUS STEM OIL,,
EUGENIA CARYOPHYLLUS BUD OIL,,
JASMINUM GRANDIFLORUM FLOWER EXTRACT,,
JASMINUM OFFICINALE OIL,,
JASMINUM OFFICINALE FLOWER EXTRACT,,
JUNIPERUS VIRGINIANA OIL,,
JUNIPERUS VIRGINIANA WOOD OIL,,
LAURUS NOBILIS LEAF OIL,,
LAVANDULA HYBRIDA OIL,,
LAVANDULA HYBRIDA EXTRACT,,
LAVANDULA HYBRIDA FLOWER EXTRACT,,
LAVANDULA INTERMEDIA FLOWER,,
LEAF,,
STEM EXTRACT,,
STEM OIL,,
LAVANDULA INTERMEDIA OIL,,
LAVANDULA ANGUSTIFOLIA OIL,,
LAVANDULA ANGUSTIFOLIA FLOWER,,
MENTHA PIPERITA OIL,,
MENTHA VIRIDIS LEAF OIL,,
NARCISSUS POETICUS EXTRACT,,
NARCISSUS PSEUDONARCISSUS FLOWER EXTRACT,,
"NARCISSUS JONQUILLA EXTRACT, NARCISSUS TAZETTA EXTRACT",,
PELARGONIUM GRAVEOLENS FLOWER OIL,,
POGOSTEMON CABLIN OIL,,
ROSA DAMASCENA FLOWER OIL,,
ROSA DAMASCENA FLOWER EXTRACT,,
ROSA ALBA FLOWER OIL,,
ROSA ALBA FLOWER EXTRACT,,
ROSA CANINA FLOWER OIL,,
ROSA CENTIFOLIA FLOWER OIL,,
ROSA CENTIFOLIA FLOWER EXTRACT,,
ROSA GALLICA FLOWER OIL,,
ROSA MOSCHATA FLOWER OIL,,
ROSA RUGOSA FLOWER OIL,,
SANTALUM ALBUM OIL,,
"PHENOL, 2-METHOXY- 4-(2-PROPENYL)-, ACETATE",,
GERANYL ACETATE,,
ISOEUGENYL ACETATE,,
PINENE,,
HYDROXYAPATITE (NANO),,Toothpaste
HYDROXYAPATITE (NANO),,Mouthwash
GENISTEIN,,
DAIDZEIN,,
KOJIC ACID,,Face And Hand Products
RETINOL,,Body Lotion
RETINOL,,Other Leave-On And Rinse-Off Products
RETINYL ACETATE,,Body Lotion
RETINYL ACETATE,,Other Leave-On And Rinse-Off Products
RETINYL PALMITATE,,Body Lotion
RETINYL PALMITATE,,Other Leave-On And Rinse-Off Products
ALPHA-ARBUTIN,,Face Cream
ALPHA-ARBUTIN,,Body Lotion
ARBUTIN,,Face Cream
SILVER,,Toothpaste
SILVER,,Mouthwash
HEXYL SALICYLATE,,Hydroalcoholic-Based Fragrances (Except Hydroalcoholic-Based Fragrances Intended For Children Below 3 Years Of Age)
HEXYL SALICYLATE,,"All Rinse-Off Products (Except Shower Gel/Bath Products, Hand Wash, Hair Conditioner And Shampoo Intended For Children Below 3 Years Of Age)"
HEXYL SALICYLATE,,"All Leave-On Products (Except Hair Conditioner, Body Lotion, Face Cream, Hand Cream, Lipstick/Lip Balm And Fragrance Products Intended For Children Below 3 Years Of Age)"
HEXYL SALICYLATE,,Toothpaste
HEXYL SALICYLATE,,Mouthwash
HEXYL SALICYLATE,,"Shower Gel/Bath Products, Hand Wash, Shampoo, Hair Conditioner, Body, Face And Hand (Skin) Care Products, Lipstick/Lip Balm And Fragrance Products Intended For Children Below 3 Years Of Age"
