product_name,brand,ingredients_text,categories,country,barcode,source
CHORIZO SARTA,INGRID COSMETICS,"Viande de porc 70%, Graisse de porc 30%, Ail, Paprika, Origan, Sel marin.","Viandes et dérivés, Viandes, Charcuteries, Saucissons, Chorizo",France,3396410047467,open_beauty_facts_api
Cervelas 400g,"INGRID COSMETICS, Top budget","Viande 29% (dont viande de porc 28% et viande de poulet 1%) (origine : France), eau, viande séparée mécaniquement de porc, gras de porc, couenne de porc, plasma de porc, dextrose, sel, protéines de lait, stabilisants : diphosphates et triphosphates ; ; arômes naturels, épices et plantes aromatiques, antioxydant : ascorbate de sodium ; ; conservateur : nitrite de sodium.","Viandes et dérivés, Viandes, Charcuteries, Frais, Saucisses, Saucisses françaises, Cervelas, Saucissons, Saucissons cuits",France,3410280022116,open_beauty_facts_api
Soupe aux 5 légumes du soleil,INGRID COSMETICS,"Eau; courgettes du Sud-Ouest (12,5%), tomates (cubetées et concentré) (9,6%), aubergines du Sud-Ouest (5%), poivrons du Sud-Ouest 5%, oignons (2,5%), pois Chiche du Sud-Ouest (1,5%), huile de tournesol désodorisée, ail, sel marin non raffiné de l'Atlantique, basilic, origan, thym.","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Soupes, Soupes de légumes",France,3431590008355,open_beauty_facts_api
Filet de Saumon sauce Aneth et Duo de Riz,INGRID COSMETICS,"Riz blanc* et rouge* précuits 46 % ( riz blanc étuvé* 23 % , eau , riz rouge* 1,3 % , huile de colza* , sel ) - filet de SAUMON* 18 % - eau - carottes* 6,6 % - CRÈME fraîche* - farines de BLÉ* et de riz* - huile de colza* - poudre de LAIT ÉCRÉMÉ* - PROTÉINES DE LAIT* - vinaigre d'alcool* - sel - épaississants : gomme xanthane et gomme guar* - fécule de pomme de terre* - extrait de citron* 0,17 % ( jus et alcoolat de citron ) - arôme naturel de vin blanc - jus de citron concentré* 0,11 % - aneth déshydraté* 0,06 % - poivre* Traces d'OEUF. Ingrédients issus de l'agriculture biologique.","Plats préparés, Plats préparés au poisson, Plats à base de riz, Plats préparés à réchauffer au micro-ondes, en:groceries",France,3350031954023,open_beauty_facts_api
Confiture de Fraise,INGRID COSMETICS,"Fraises (50%), sucre, gélifiant: pectine.","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Petit-déjeuners, Produits à tartiner, Fruits et produits dérivés, Pâtes à tartiner végétales, Produits à tartiner sucrés, Confitures et marmelades, Confitures, Confitures de fruits rouges, Confitures de fraises",France,3361779999603,open_beauty_facts_api
Brioche froment pur beurre,INGRID COSMETICS,"Farine de froment (blé) type 65 (35 %), œufs, levain (farine de blé, eau, sel marin non traité, levure), beurre (lait), sucre roux, levure, rhum, sel marin fin non traité, arômes, eau, gluten de blé.","Snacks, Snacks sucrés, Viennoiseries, Brioches, Brioches tressées, Brioches pur beurre",France,3419390405376,open_beauty_facts_api
Fruits Rouges - Confiture Extra de Corse au Sucre de Canne,INGRID COSMETICS,"Fruits (fraises 20%, framboise 20%, groseille 10%), sucre de canne 40%, sirop de glucose, gélifiant : pectine de fruit, jus de citron.","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner sucrés, Confitures et marmelades, Confitures, Confitures de fruits rouges",France,3425471306159,open_beauty_facts_api
Confiture extra bio de Corse,INGRID COSMETICS,"clémentines*, sucre de canne*, jus de citron*, gélifiant : pectine de fruit. *Issus de l'agriculture biologique.","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner sucrés, Confitures et marmelades, Confitures, Confitures d'agrumes, Confitures de clémentine",France,3425471312099,open_beauty_facts_api
Confiture 3 agrumes,INGRID COSMETICS,"Fruits (clémentines* 20%, oranges 15%, pomelos* 15%), sucre de canne*, jus de citron*. *issu l'agriculture biologique. Fabriqué dans un atelier fruits à coques et lait.","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner sucrés, Confitures et marmelades, Confitures, Confitures d'agrumes",France,3425471312129,open_beauty_facts_api
Crevil Foot,Crevil Cosmetics & Pharmaceutials Germany,"Aqua, Petrolatum, Paraffinum Liquidum, Glycerin, Cetearyl Alcohol, Urea, Stearic Acid, Cetearêth-20, Ceteareth-25, Allantoin, Dimethicone, Sodium Hydroxide, Carbomer, Phenoxyethanol, Ethylhexylglycerin n",en:Fersen Creme,en:Iran,4260132325440,open_beauty_facts_api
,,,cosmetics,en:bulgaria,3337875850896,open_beauty_facts_api
Lait frais demi-écrémé,INGRID COSMETICS,_Lait_ frais demi-écrémé microfiltré issu de l'agriculture biologique.,"Produits laitiers, Laits, Laits demi-écrémés, Laits frais, Laits de vache, Laits demi-écrémés biologiques",France,3350033293502,open_beauty_facts_api
Fromage blanc,INGRID COSMETICS,Lait écrémé pasteurisé (origine : France) - crème pasteurisée (origine : France) - calcium issu des minéraux du lait - vitamine D (contient lait) - ferments lactiques (contient lait).,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Fromages blancs, Fromages blancs au lait de vache, Fromages blancs natures",France,3350033383142,open_beauty_facts_api
Palmiers aux olives noires - Feuilletage pur beurre,INGRID COSMETICS,"Farine de blé - beurre* 31 % - olives noires&quot; dénoyautées 7,6% - sel - levure - poivre noir* - plantes aromatiques - oignon - ail - extrait de paprika. ingrédients issus de lagriculture biologique Traces de graines de sésame, de fruits à coques, de soja, de moutarde et d'oeuf. Les informations en gras sont destinees aux personnes intolérantes ou allergiques.","Snacks,Salty snacks,Appetizers,Biscuits and crackers,Crackers(Appetizers),fr:palmiers-aux-olives,salty palmiers",France,3350033456792,open_beauty_facts_api
Foie de morue finement fumé au bois de hêtre,INGRID COSMETICS,"Foie de morue fumé 92,5%, (foie, huile exsudée), citron* 6,6%, sel.- &quot;6,6% des Ingrédients agricoles sont issus de l'agriculture biologique.","Produits de la mer, Poissons et dérivés, Poissons, Poissons et viandes et oeufs, Poissons maigres, Morues, Foies de poissons, Foies de morue",France,3365624014008,open_beauty_facts_api
Thon fumé tranché,INGRID COSMETICS,"Thon germon (Thunnus alalunga) pêché en zone FAO51 (océan indien ouest) à la palangre dérivante (99%), sel, sucres, épices.","Produits de la mer, Poissons et dérivés, Poissons, Poissons gras, Thons, Poissons fumés, Thons blancs, Thons fumés, Thons au naturel, Thons blancs au naturel",France,3379141203166,open_beauty_facts_api
